Category: All categories

Day,J-pop: (United States)
2021-01-01,41
2021-01-02,0
2021-01-03,66
2021-01-04,59
2021-01-05,24
2021-01-06,12
2021-01-07,23
2021-01-08,47
2021-01-09,26
2021-01-10,13
2021-01-11,12
2021-01-12,12
2021-01-13,24
2021-01-14,36
2021-01-15,36
2021-01-16,66
2021-01-17,39
2021-01-18,13
2021-01-19,24
2021-01-20,23
2021-01-21,48
2021-01-22,36
2021-01-23,40
2021-01-24,39
2021-01-25,47
2021-01-26,48
2021-01-27,24
2021-01-28,12
2021-01-29,36
2021-01-30,0
2021-01-31,0
2021-02-01,71
2021-02-02,24
2021-02-03,72
2021-02-04,12
2021-02-05,49
2021-02-06,40
2021-02-07,26
2021-02-08,36
2021-02-09,37
2021-02-10,24
2021-02-11,37
2021-02-12,24
2021-02-13,27
2021-02-14,80
2021-02-15,38
2021-02-16,25
2021-02-17,12
2021-02-18,37
2021-02-19,12
2021-02-20,27
2021-02-21,0
2021-02-22,36
2021-02-23,25
2021-02-24,24
2021-02-25,49
2021-02-26,25
2021-02-27,42
2021-02-28,40
2021-03-01,24
2021-03-02,61
2021-03-03,49
2021-03-04,25
2021-03-05,37
2021-03-06,42
2021-03-07,69
2021-03-08,25
2021-03-09,50
2021-03-10,61
2021-03-11,50
2021-03-12,12
2021-03-13,53
2021-03-14,52
2021-03-15,0
2021-03-16,10
2021-03-17,35
2021-03-18,12
2021-03-19,48
2021-03-20,55
2021-03-21,55
2021-03-22,24
2021-03-23,0
2021-03-24,12
2021-03-25,36
2021-03-26,37
2021-03-27,56
2021-03-28,27
2021-03-29,12
2021-03-30,50
2021-03-31,48
2021-04-01,12
2021-04-02,26
2021-04-03,42
2021-04-04,0
2021-04-05,63
2021-04-06,12
2021-04-07,24
2021-04-08,48
2021-04-09,12
2021-04-10,27
2021-04-11,14
2021-04-12,36
2021-04-13,37
2021-04-14,24
2021-04-15,36
2021-04-16,12
2021-04-17,14
2021-04-18,14
2021-04-19,25
2021-04-20,24
2021-04-21,36
2021-04-22,12
2021-04-23,38
2021-04-24,71
2021-04-25,42
2021-04-26,25
2021-04-27,63
2021-04-28,37
2021-04-29,24
2021-04-30,0
2021-05-01,56
2021-05-02,42
2021-05-03,12
2021-05-04,24
2021-05-05,36
2021-05-06,74
2021-05-07,38
2021-05-08,56
2021-05-09,57
2021-05-10,13
2021-05-11,12
2021-05-12,73
2021-05-13,13
2021-05-14,0
2021-05-15,0
2021-05-16,28
2021-05-17,12
2021-05-18,37
2021-05-19,74
2021-05-20,64
2021-05-21,76
2021-05-22,43
2021-05-23,14
2021-05-24,63
2021-05-25,13
2021-05-26,12
2021-05-27,38
2021-05-28,25
2021-05-29,28
2021-05-30,14
2021-05-31,28
2021-06-01,51
2021-06-02,0
2021-06-03,12
2021-06-04,13
2021-06-05,57
2021-06-06,28
2021-06-07,12
2021-06-08,50
2021-06-09,12
2021-06-10,13
2021-06-11,39
2021-06-12,43
2021-06-13,54
2021-06-14,25
2021-06-15,37
2021-06-16,12
2021-06-17,13
2021-06-18,39
2021-06-19,29
2021-06-20,15
2021-06-21,64
2021-06-22,0
2021-06-23,25
2021-06-24,13
2021-06-25,26
2021-06-26,100
2021-06-27,14
2021-06-28,25
2021-06-29,38
2021-06-30,13
2021-07-01,25
2021-07-02,26
2021-07-03,28
2021-07-04,45
2021-07-05,43
2021-07-06,77
2021-07-07,25
2021-07-08,38
2021-07-09,26
2021-07-10,43
2021-07-11,55
2021-07-12,25
2021-07-13,38
2021-07-14,37
2021-07-15,38
2021-07-16,38
2021-07-17,57
2021-07-18,56
2021-07-19,50
2021-07-20,64
2021-07-21,12
2021-07-22,26
2021-07-23,39
2021-07-24,72
2021-07-25,29
2021-07-26,25
2021-07-27,13
2021-07-28,63
2021-07-29,25
2021-07-30,37
2021-07-31,28
